Transaction_ID,Amount,Transaction_Hour,Previous_Transaction_Amount,Transaction_Frequency,Account_Age,Is_New_Device,Is_International,Fraud
T00001,1407.8,22,605.59,3,5,0,0,0
T00002,9030.36,3,2005.62,3,2,1,1,1
T00003,3950.24,17,2301.78,2,5,0,0,0
T00004,2738.83,4,16515.21,2,4,0,0,0
T00005,508.87,15,561.56,5,9,0,0,0
T00006,508.79,13,1851.74,3,6,0,0,0
T00007,179.52,18,1062.33,0,3,1,0,0
T00008,6033.69,13,1865.81,0,2,0,1,1
T00009,2757.25,8,660.33,1,7,1,0,1
T00010,3693.75,5,121.96,5,1,0,0,1
T00011,62.4,16,2124.89,5,5,0,1,0
T00012,10510.67,18,1023.13,1,5,0,0,1
T00013,5359.29,11,502.05,5,4,1,0,0
T00014,716.06,3,978.67,3,3,0,0,0
T00015,602.04,15,126.34,5,9,0,0,0
T00016,607.83,10,7511.54,5,4,0,0,0
T00017,1088.26,21,2175.59,2,9,0,0,0
T00018,2231.78,3,4215.37,4,7,0,0,0
T00019,1696.61,16,1375.29,1,9,0,1,0
T00020,1032.67,7,5840.73,2,2,0,0,0
T00021,2839.11,13,1650.82,4,2,0,0,0
T00022,450.7,1,2132.97,5,8,0,0,1
T00023,1036.55,10,1692.17,1,9,0,0,0
T00024,1368.83,10,3303.87,1,2,0,1,1
T00025,1826.8,23,2090.56,1,6,0,0,0
T00026,4613.81,21,792.26,1,6,1,0,1
T00027,668.21,23,393.21,1,7,0,0,0
T00028,2166.09,5,2329.3,2,5,0,1,0
T00029,2692.51,20,1679.34,2,3,0,0,0
T00030,142.69,20,252.25,5,10,0,0,0
T00031,2806.0,13,1258.87,2,3,0,0,0
T00032,560.88,9,1807.86,5,6,0,0,0
T00033,201.79,7,4384.62,4,1,0,1,0
T00034,8921.06,6,197.88,6,8,0,1,0
T00035,10111.89,7,1071.18,6,7,1,0,1
T00036,4956.99,7,4324.16,6,7,0,0,0
T00037,1089.86,22,2613.32,1,6,0,0,0
T00038,308.33,1,856.08,2,3,0,0,0
T00039,3458.25,15,4666.24,5,9,0,0,0
T00040,1740.27,8,1699.56,5,10,0,1,0
T00041,390.46,12,1724.64,2,6,0,0,0
T00042,2050.64,22,9386.2,5,6,1,0,0
T00043,104.98,11,7349.16,4,6,0,1,0
T00044,7201.27,21,1109.99,3,6,0,0,0
T00045,898.37,16,378.74,2,6,0,0,0
T00046,3258.77,1,985.08,2,4,0,0,1
T00047,1120.64,12,77.39,2,2,0,0,0
T00048,2202.33,0,52.47,2,1,0,0,0
T00049,2373.67,18,1258.48,3,8,0,0,0
T00050,613.17,10,7076.38,6,5,0,0,0
T00051,10478.42,4,5126.79,1,3,0,0,1
T00052,4476.74,0,1790.75,4,9,0,0,0
